name,phone
Denham  Jeff,202-225-4540
Dent  Charles W.,202-225-6411
DeSantis  Ron,202-225-2706
DeSaulnier  Mark,202-225-2095
DesJarlais  Scott,202-225-6831
Deutch  Ted,202-225-9890
Diaz-Balart  Mario,202-225-4211
Dingell  Debbie,202-225-4071
Doggett  Lloyd,202-225-4865
Donovan  Daniel,202-225-3371
Doyle  Mike,202-225-2135
Duffy  Sean P.,202-225-3365
Duncan  Jeff,202-225-5301
Duncan Jr.  John J.,202-225-5435
Dunn  Neal,202-225-5235
Ellison  Keith,202-225-4755
Emmer  Tom,202-225-2331
Engel  Eliot,202-225-2464
Eshoo  Anna G.,202-225-8104
Espaillat  Adriano,202-225-4365
Esty  Elizabeth,202-225-4476
Evans  Dwight,202-225-4001
Farenthold  Blake,202-225-7742
Faso  John,202-225-5614
Ferguson  A. Drew,202-225-5901
Fitzpatrick  Brian,202-225-4276
Fleischmann  Chuck,202-225-3271
Flores  Bill,202-225-6105
Fortenberry  Jeff,202-225-4806
Foster  Bill,202-225-3515
Foxx  Virginia,202-225-2071
Frankel  Lois,202-225-3001
Franks  Trent,202-225-4576
Frelinghuysen  Rodney,202-225-5034
Fudge  Marcia L.,202-225-7032
Gabbard  Tulsi,202-225-4906
Gaetz  Matt,202-225-4136
Gallagher  Mike,202-225-5665
Gallego  Ruben,202-225-4065
Garamendi  John,202-225-1880
Garrett  Thomas,202-225-4711
Gibbs  Bob,202-225-6265
Gohmert  Louie,202-225-3035
Gonzalez  Vicente,202-225-2531
González-Colón  Jenniffer,202-225-2615
Goodlatte  Bob,202-225-5431
Gosar  Paul A.,202-225-2315
Gottheimer  Josh,202-225-4465
Gowdy  Trey,202-225-6030
Granger  Kay,202-225-5071
Graves  Garret,202-225-3901
Graves  Sam,202-225-7041
Graves  Tom,202-225-5211
Green  Al,202-225-7508
Green  Gene,202-225-1688
Griffith  Morgan,202-225-3861
Grijalva  Raul,202-225-2435
Grothman  Glenn,202-225-2476
Guthrie  S. Brett,202-225-3501
Gutierrez  Luis,202-225-8203
Hanabusa  Colleen,202-225-2726
Harper  Gregg,202-225-5031
Harris  Andy,202-225-5311
Hartzler  Vicky,202-225-2876
Hastings  Alcee L.,202-225-1313
Heck  Denny,202-225-9740
Hensarling  Jeb,202-225-3484
Hice  Jody,202-225-4101
Higgins  Brian,202-225-3306
Higgins  Clay,202-225-2031
Hill  French,202-225-2506
Himes  Jim,202-225-5541
Holding  George,202-225-3032
Hollingsworth  Trey,202-225-5315
Hoyer  Steny H.,202-225-4131
Hudson  Richard,202-225-3715
Huffman  Jared,202-225-5161
Huizenga  Bill,202-225-4401
Hultgren  Randy,202-225-2976
Hunter  Duncan D.,202-225-5672
Hurd  Will,202-225-4511
Issa  Darrell,202-225-3906
Jackson Lee  Sheila,202-225-3816
Jayapal  Pramila,202-225-3106
Jeffries  Hakeem,202-225-5936
Jenkins  Evan,202-225-3452
Jenkins  Lynn,202-225-6601
Johnson  Bill,202-225-5705
Johnson  Eddie Bernice,202-225-8885
"Johnson  Henry C. ""Hank"" Jr.",202-225-1605
Johnson  Mike,202-225-2777
Johnson  Sam,202-225-4201
Jones  Walter B.,202-225-3415
Jordan  Jim,202-225-2676
Joyce  David,202-225-5731
Kaptur  Marcy,202-225-4146
Katko  John,202-225-3701
Keating  William,202-225-3111
Kelly  Mike,202-225-5406
Kelly  Robin,202-225-0773
Kelly  Trent,202-225-4306
Kennedy III  Joseph P.,202-225-5931
Khanna  Ro,202-225-2631
Kihuen  Ruben,202-225-9894
Kildee  Daniel,202-225-3611
Kilmer  Derek,202-225-5916
Kind  Ron,202-225-5506
King  Pete,202-225-7896
King  Steve,202-225-4426
Kinzinger  Adam,202-225-3635
Knight  Steve,202-225-1956
Krishnamoorthi  Raja,202-225-3711
Kuster  Ann,202-225-5206
Kustoff  David,202-225-4714
Labrador  Raul R.,202-225-6611
LaHood Darin,202-225-6201
LaMalfa  Doug,202-225-3076
Lamborn  Doug,202-225-4422
Lance  Leonard,202-225-5361
Langevin  Jim,202-225-2735
Larsen  Rick,202-225-2605
Larson  John B.,202-225-2265
Latta  Robert E.,202-225-6405
Lawrence  Brenda,202-225-5802
Lawson  Al,202-225-0123
Lee  Barbara,202-225-2661
Levin  Sander,202-225-4961
Lewis  Jason,202-225-2271
Lewis  John,202-225-3801
Lieu  Ted,202-225-3976
Lipinski  Daniel,202-225-5701
LoBiondo  Frank,202-225-6572
Loebsack  David,202-225-6576
Lofgren  Zoe,202-225-3072
Long  Billy,202-225-6536
Loudermilk  Barry,202-225-2931
Love  Mia,202-225-3011
Lowenthal  Alan,202-225-7924
Lowey  Nita,202-225-6506
Lucas  Frank,202-225-5565
Luetkemeyer  Blaine,202-225-2956
Lujan  Ben R.,202-225-6190
Lujan Grisham  Michelle,202-225-6316
Lynch  Stephen F.,202-225-8273
MacArthur  Tom,202-225-4765
Maloney  Carolyn,202-225-7944
Maloney  Sean Patrick,202-225-5441
Marchant  Kenny,202-225-6605
Marino  Tom,202-225-3731
Marshall  Roger,202-225-2715
Massie  Thomas,202-225-3465
Mast  Brian,202-225-3026
Matsui  Doris O.,202-225-7163
McCarthy  Kevin,202-225-2915
McCaul  Michael T.,202-225-2401
McClintock  Tom,202-225-2511
McCollum  Betty,202-225-6631
McEachin  A. Donald,202-225-6365
McGovern  James,202-225-6101
McHenry  Patrick T.,202-225-2576
McKinley  David,202-225-4172
McMorris Rodgers  Cathy,202-225-2006
McNerney  Jerry,202-225-1947
McSally  Martha,202-225-2542
Meadows  Mark,202-225-6401
Meehan  Pat,202-225-2011
Meeks  Gregory W.,202-225-3461
Meng  Grace,202-225-2601
Messer  Luke,202-225-3021
Mitchell  Paul,202-225-2106
Moolenaar  John,202-225-3561
Mooney  Alex,202-225-2711
Moore  Gwen,202-225-4572
Moulton  Seth,202-225-8020
Mullin  Markwayne,202-225-2701
Mulvaney  Mick,202-225-5501
Murphy  Stephanie,202-225-4035
Murphy  Tim,202-225-2301
Nadler  Jerrold,202-225-5635
Napolitano  Grace,202-225-5256
Neal  Richard E.,202-225-5601
Newhouse  Dan,202-225-5816
Noem  Kristi,202-225-2801
Nolan  Rick,202-225-6211
Norcross  Donald,202-225-6501
Norton  Eleanor Holmes,202-225-8050
Nunes  Devin,202-225-2523
O'Halleran  Tom,202-225-3361
O'Rourke  Beto,202-225-4831
Olson  Pete,202-225-5951
Palazzo  Steven,202-225-5772
Pallone Jr.  Frank,202-225-4671
Palmer  Gary,202-225-4921
Panetta  Jimmy,202-225-2861
Pascrell Jr.  Bill,202-225-5751
Paulsen  Erik,202-225-2871
Payne Jr.  Donald,202-225-3436
Pearce  Steve,202-225-2365
Pelosi  Nancy,202-225-4965
Perlmutter  Ed,202-225-2645
Perry  Scott,202-225-5836
Peters  Scott,202-225-0508
Peterson  Collin C.,202-225-2165
Pingree  Chellie,202-225-6116
Pittenger  Robert,202-225-1976
Plaskett  Stacey,202-225-1790
Pocan  Mark,202-225-2906
Poe  Ted,202-225-6565
Poliquin  Bruce,202-225-6306
Polis  Jared,202-225-2161
Pompeo  Mike,202-225-6216
Posey  Bill,202-225-3671
Price  David,202-225-1784
Price  Tom,202-225-4501
Quigley  Mike,202-225-4061
Radewagen  Amata,202-225-8577
Raskin  Jamie,202-225-5341
Ratcliffe  John,202-225-6673
Reed  Tom,202-225-3161
Reichert  David G.,202-225-7761
Renacci  Jim,202-225-3876
Rice  Kathleen,202-225-5516
Rice  Tom,202-225-9895
Richmond  Cedric,202-225-6636
Roby  Martha,202-225-2901
Roe  Phil,202-225-6356
Rogers  Harold,202-225-4601
Rogers  Mike,202-225-3261
Rohrabacher  Dana,202-225-2415
Rokita  Todd,202-225-5037
Rooney  Francis,202-225-2536
Rooney  Tom,202-225-5792
Ros-Lehtinen  Ileana,202-225-3931
Rosen  Jacky,202-225-3252
Roskam  Peter J.,202-225-4561
Ross  Dennis,202-225-1252
Rothfus  Keith,202-225-2065
Rouzer  David,202-225-2731
Roybal-Allard  Lucille,202-225-1766
Royce  Ed,202-225-4111
Ruiz  Raul,202-225-5330
Ruppersberger  C. A. Dutch,202-225-3061
Rush  Bobby L.,202-225-4372
Russell  Steve,202-225-2132
Rutherford  John,202-225-2501
Ryan  Paul D.,202-225-3031
Ryan  Tim,202-225-5261
Sablan  Gregorio,202-225-2646
Sanford  Mark,202-225-3176
Sarbanes  John P.,202-225-4016
Scalise  Steve,202-225-3015
Schakowsky  Jan,202-225-2111
Schiff  Adam,202-225-4176
Schneider  Bradley,202-225-4835
Schrader  Kurt,202-225-5711
Schweikert  David,202-225-2190
Scott  Austin,202-225-6531
Scott  David,202-225-2939
Scott  Robert C.,202-225-8351
Sensenbrenner  F. James,202-225-5101
Serrano  José E.,202-225-4361
Sessions  Pete,202-225-2231
Sewell  Terri A.,202-225-2665
Shea-Porter  Carol,202-225-5456
Sherman  Brad,202-225-5911
Shimkus  John,202-225-5271
Shuster  Bill,202-225-2431
Simpson  Mike,202-225-5531
Sinema  Kyrsten,202-225-9888
Sires  Albio,202-225-7919
Slaughter  Louise,202-225-3615
Smith  Adam,202-225-8901
Smith  Adrian,202-225-6435
Smith  Chris,202-225-3765
Smith  Jason,202-225-4404
Smith  Lamar,202-225-4236
Smucker  Lloyd,202-225-2411
Soto  Darren,202-225-9889
Speier  Jackie,202-225-3531
Stefanik  Elise,202-225-4611
Stewart  Chris,202-225-9730
Stivers  Steve,202-225-2015
Suozzi  Thomas,202-225-3335
Swalwell  Eric,202-225-5065
Sánchez  Linda,202-225-6676
Takano  Mark,202-225-2305
Taylor  Scott,202-225-4215
Tenney  Claudia,202-225-3665
Thompson  Bennie G.,202-225-5876
Thompson  Glenn W.,202-225-5121
Thompson  Mike,202-225-3311
Thornberry  Mac,202-225-3706
Tiberi  Pat,202-225-5355
Tipton  Scott,202-225-4761
Titus  Dina,202-225-5965
Tonko  Paul D.,202-225-5076
Torres  Norma,202-225-6161
Trott  Dave,202-225-8171
Tsongas  Niki,202-225-3411
Turner  Michael,202-225-6465
Upton  Fred,202-225-3761
Valadao  David,202-225-4695
Vargas  Juan,202-225-8045
Veasey  Marc,202-225-9897
Vela  Filemon,202-225-9901
Velázquez  Nydia M.,202-225-2361
Visclosky  Peter,202-225-2461
Wagner  Ann,202-225-1621
Walberg  Tim,202-225-6276
Walden  Greg,202-225-6730
Walker  Mark,202-225-3065
Walorski  Jackie,202-225-3915
Walters  Mimi,202-225-5611
Walz  Timothy J.,202-225-2472
Wasserman Schultz  Debbie,202-225-7931
Waters  Maxine,202-225-2201
Watson Coleman  Bonnie,202-225-5801
Weber  Randy,202-225-2831
Webster  Daniel,202-225-1002
Welch  Peter,202-225-4115
Wenstrup  Brad,202-225-3164
Westerman  Bruce,202-225-3772
Williams  Roger,202-225-9896
Wilson  Frederica,202-225-4506
Wilson  Joe,202-225-2452
Wittman  Robert J.,202-225-4261
Womack  Steve,202-225-4301
Woodall  Robert,202-225-4272
Yarmuth  John A.,202-225-5401
Yoder  Kevin,202-225-2865
Yoho  Ted,202-225-5744
Young  David,202-225-5476
Young  Don,202-225-5765
Zeldin  Lee,202-225-3826
Zinke  Ryan,202-225-3211
